epoch,global_step,train_online_ce,validation_ce,validation_accuracy,training_target_tokens,training_seconds,training_tokens_per_second,max_gradient_norm_before_clip,last_learning_rate
1,5420,1.8845356266168627,1.097840669010629,0.6574775043804111,88792832,734.224846875,120934.11490760508,4.018500804901123,0.0002981587759593675
2,10840,1.139492573828682,0.9716517185952822,0.6958784564756464,88792832,768.9347906669999,115475.113205605,1.1505097150802612,0.000283728956412876
3,16260,1.0644306328823427,0.9325042961413128,0.7076251592040167,88792832,752.209596959,118042.6736895777,0.8985246419906616,0.00025643301216947504
4,21680,1.0360615515023803,0.9137008564092645,0.7134021714323576,88792832,741.132883542,119806.89829284592,0.8114946484565735,0.00021922888232815086
5,27100,1.019837534520062,0.9020668417118809,0.7169612554479062,88792832,749.9923130000002,118391.6561022139,0.8341869115829468,0.00017614821163876486
6,32520,1.0085142365825437,0.8927994213646829,0.7200563011661464,88792832,748.3871114580002,118645.59215486048,0.8182601928710938,0.0001318594592359921
7,37940,1.0001237436583363,0.8863805844678608,0.7221415977089346,88792832,748.9630189999998,118554.3608261919,0.8526060581207275,9.116199865347238e-05
8,43360,0.9938926105420602,0.8811142973852379,0.7235281910742682,88792832,741.8717942079993,119687.56959521913,0.8658536076545715,5.846603123148688e-05
9,48780,0.9897056001947875,0.8779918949920962,0.724591660102185,88792832,756.6583526670001,117348.6444536443,0.8225323557853699,3.7314672370414325e-05
10,54200,0.9871556682774698,0.8760242209402774,0.7251761366982743,88792832,761.9153861249997,116538.9669469579,0.8572254180908203,3e-05
